"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz Mazda",JM1NDAC70T0709749,2026,Mazda,"MX-5 MIATA",Club,,M26943,2026-09-02,https://www.mazda.fusz.com/inventory/new-2026-mazda-mx-5-miata-club-rwd-convertible-jm1ndac70t0709749/
"Lou Fusz Mazda",JM3KMDHA0T0229257,2026,Mazda,CX-5,"2.5 S Premium AWD",,M26942,2026-09-02,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-5-2-5-s-premium-awd-awd-suv-jm3kmdha0t0229257/
"Lou Fusz Mazda",3MVDMBBL5TM237530,2026,Mazda,CX-30,"2.5 S Select Sport AWD",,,2026-09-25,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-30-2-5-s-select-sport-awd-awd-suv-3mvdmbbl5tm237530/
"Lou Fusz Mazda",JM1BPABL8T1907224,2026,Mazda,"Mazda3 Sedan","2.5 S Select Sport",,M26946,2026-09-03,https://www.mazda.fusz.com/inventory/new-2026-mazda-mazda3-sedan-2-5-s-select-sport-fwd-sedan-jm1bpabl8t1907224/
"Lou Fusz Mazda",JM3KMDHA3T0229852,2026,Mazda,CX-5,"2.5 S Premium AWD",,M26944,2026-09-03,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-5-2-5-s-premium-awd-awd-suv-jm3kmdha3t0229852/
"Lou Fusz Mazda",JM3KMCHA3T0229909,2026,Mazda,CX-5,"2.5 S Preferred AWD",,M26945,2026-09-03,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-5-2-5-s-preferred-awd-awd-suv-jm3kmcha3t0229909/
"Lou Fusz Mazda",JM3KKEHD8T1421722,2026,Mazda,CX-90,"3.3 Turbo Premium Plus AWD",,M26959,2026-09-04,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-90-3-3-turbo-premium-plus-awd-awd-suv-jm3kkehd8t1421722/
"Lou Fusz Mazda",JM3KMCHA0T0222514,2026,Mazda,CX-5,"2.5 S Preferred AWD",,M26962,2026-09-04,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-5-2-5-s-preferred-awd-awd-suv-jm3kmcha0t0222514/
"Lou Fusz Mazda",JM3KMCHA0T0230497,2026,Mazda,CX-5,"2.5 S Preferred AWD",,M26960,2026-09-04,https://www.mazda.fusz.com/inventory/new-2026-mazda-cx-5-2-5-s-preferred-awd-awd-suv-jm3kmcha0t0230497/
"Lou Fusz Mazda",JM1BPAML4T1907475,2026,Mazda,"Mazda3 Hatchback","2.5 S Premium",,M26958,2026-09-04,https://www.mazda.fusz.com/inventory/new-2026-mazda-mazda3-hatchback-2-5-s-premium-fwd-hatchback-jm1bpaml4t1907475/
