"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Terre Haute KIA",5XYRL4JCXTG479749,2026,Kia,Sorento,S,"At Dealership",P3776,2026-07-09,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sorento-s-fwd-4dr-sport-utility-5xyrl4jcxtg479749/
"Terre Haute KIA",5XYRLDJC8TG482634,2026,Kia,Sorento,S,"At Dealership",P3775,2026-07-09,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sorento-s-awd-4dr-sport-utility-5xyrldjc8tg482634/
"Terre Haute KIA",5XYRL4JC3TG479298,2026,Kia,Sorento,S,"At Dealership",P3792,2026-07-13,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sorento-s-fwd-4dr-sport-utility-5xyrl4jc3tg479298/
"Terre Haute KIA",5XYRLDJC7TG477358,2026,Kia,Sorento,S,"At Dealership",P3793,2026-07-13,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sorento-s-awd-4dr-sport-utility-5xyrldjc7tg477358/
"Terre Haute KIA",KNDELCD38V7036066,2027,Kia,Seltos,S,"At Dealership",P3827,2026-07-29,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-seltos-s-awd-5dr-sport-utility-kndelcd38v7036066/
"Terre Haute KIA",KNDPV3DG8V7424257,2027,Kia,"Sportage Hybrid",EX,"At Dealership",P3823,2026-07-29,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-sportage-hybrid-ex-fwd-5dr-sport-utility-kndpv3dg8v7424257/
"Terre Haute KIA",5XYPCESA2VG029865,2027,Kia,"Telluride Hybrid",EX,"At Dealership",P3800,2026-07-11,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-telluride-hybrid-ex-awd-5dr-sport-utility-5xypcesa2vg029865/
"Terre Haute KIA",5XYK3CDF6TG463050,2026,Kia,Sportage,EX,"At Dealership",P3796,2026-07-13,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sportage-ex-awd-4dr-sport-utility-5xyk3cdf6tg463050/
"Terre Haute KIA",KNDRH4JG2T5535759,2026,Kia,"Sorento Hybrid",EX,"At Dealership",P3801,2026-07-16,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-sorento-hybrid-ex-fwd-4dr-sport-utility-kndrh4jg2t5535759/
"Terre Haute KIA",KNDPVDDG5V7419958,2027,Kia,"Sportage Hybrid",EX,"At Dealership",P3828,2026-07-29,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-sportage-hybrid-ex-awd-5dr-sport-utility-kndpvddg5v7419958/
"Terre Haute KIA",KNDECCD36V5012814,2027,Kia,Seltos,EX,"At Dealership",P3873,2026-08-20,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-seltos-ex-awd-5dr-sport-utility-kndeccd36v5012814/
"Terre Haute KIA",KNDEDCD3XV5011159,2027,Kia,Seltos,"X-Line S","At Dealership",P3872,2026-08-20,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-seltos-x-line-s-awd-5dr-sport-utility-kndedcd3xv5011159/
"Terre Haute KIA",KNDEL3D38V5011843,2027,Kia,Seltos,S,"At Dealership",P3874,2026-08-20,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-seltos-s-fwd-5dr-sport-utility-kndel3d38v5011843/
"Terre Haute KIA",KNDEL3D39V5013486,2027,Kia,Seltos,S,"At Dealership",P3839,2026-07-30,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-seltos-s-fwd-5dr-sport-utility-kndel3d39v5013486/
"Terre Haute KIA",5XYPCES19VG039101,2027,Kia,Telluride,"X-Line EX","At Dealership",P3806,2026-07-21,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-telluride-x-line-ex-awd-5dr-sport-utility-5xypces19vg039101/
"Terre Haute KIA",KNDELCD38V5014354,2027,Kia,Seltos,S,"At Dealership",P3854,2026-08-10,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-seltos-s-awd-5dr-sport-utility-kndelcd38v5014354/
"Terre Haute KIA",KNDNB5K34V6655044,2027,Kia,"Carnival MPV",LXS,"At Dealership",P3853,2026-08-10,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-carnival-mpv-lxs-fwd-minivan-kndnb5k34v6655044/
"Terre Haute KIA",5XYPLES16VG042697,2027,Kia,Telluride,"X-Pro SX Prestige","At Dealership",P3808,2026-07-22,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-telluride-x-pro-sx-prestige-awd-5dr-sport-utility-5xyples16vg042697/
"Terre Haute KIA",KNDECCD39V5013276,2027,Kia,Seltos,EX,"At Dealership",P3841,2026-07-30,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-seltos-ex-awd-5dr-sport-utility-kndeccd39v5013276/
"Terre Haute KIA",KNDNC5K37V6655326,2027,Kia,"Carnival MPV",EX,"At Dealership",P3855,2026-08-10,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-carnival-mpv-ex-fwd-minivan-kndnc5k37v6655326/
"Terre Haute KIA",5XYPLESA7VG038920,2027,Kia,"Telluride Hybrid","X-LINE SX PRESTIGE","At Dealership",P3818,2026-07-27,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-telluride-hybrid-x-line-sx-prestige-awd-5dr-sport-utility-5xyplesa7vg038920/
"Terre Haute KIA",5XYPLESA7VG039226,2027,Kia,"Telluride Hybrid","X-LINE SX PRESTIGE","At Dealership",P3819,2026-07-27,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-telluride-hybrid-x-line-sx-prestige-awd-5dr-sport-utility-5xyplesa7vg039226/
"Terre Haute KIA",3KPFT4DE3TE391851,2026,Kia,K4,,"At Dealership",P3878,2026-08-20,https://www.loufuszkiaterrehaute.com/inventory/new-2026-kia-k4-fwd-4d-sedan-3kpft4de3te391851/
"Terre Haute KIA",KNDEDCD30V5015544,2027,Kia,Seltos,"X-Line S","At Dealership",P3862,2026-08-14,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-seltos-x-line-s-awd-5dr-sport-utility-kndedcd30v5015544/
"Terre Haute KIA",KNDEDCD35V5015359,2027,Kia,Seltos,"X-Line S","At Dealership",P3860,2026-08-14,https://www.loufuszkiaterrehaute.com/inventory/new-2027-kia-seltos-x-line-s-awd-5dr-sport-utility-kndedcd35v5015359/
