"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz Ford",3FMTK3SU6TMA06360,2026,Ford,"Mustang Mach-E",Premium,"At Dealership",F26324,2026-04-03,https://www.loufuszford.com/inventory/new-2026-ford-mustang-mach-e-premium-awd-4d-sport-utility-3fmtk3su6tma06360/
"Lou Fusz Ford",3FMCR9CN9TRE25411,2026,Ford,"Bronco Sport","Outer Banks","At Dealership",F26328,2026-04-11,https://www.loufuszford.com/inventory/new-2026-ford-bronco-sport-outer-banks-4wd-4d-sport-utility-3fmcr9cn9tre25411/
"Lou Fusz Ford",3FTTW8JA7TRA54207,2026,Ford,Maverick,XLT,"At Dealership",F26329,2026-03-13,https://www.loufuszford.com/inventory/new-2026-ford-maverick-xlt-awd-4d-crew-cab-3fttw8ja7tra54207/
"Lou Fusz Ford",1FMUK8HH1TGB12088,2026,Ford,Explorer,Platinum,"At Dealership",F26333,2026-03-02,https://www.loufuszford.com/inventory/new-2026-ford-explorer-platinum-4wd-4d-sport-utility-1fmuk8hh1tgb12088/
"Lou Fusz Ford",1FMEE9BP9TLA65563,2026,Ford,Bronco,Badlands,"At Dealership",F26344,2026-03-18,https://www.loufuszford.com/inventory/new-2026-ford-bronco-badlands-4wd-4d-sport-utility-1fmee9bp9tla65563/
"Lou Fusz Ford",1FTFW4L84TFA46126,2026,Ford,F-150,Tremor,"At Dealership",F26340,2026-03-09,https://www.loufuszford.com/inventory/new-2026-ford-f-150-tremor-4wd-4d-supercrew-1ftfw4l84tfa46126/
"Lou Fusz Ford",1FMUK8KHXTGB04905,2026,Ford,Explorer,ST-Line,"At Dealership",F26342,2026-03-16,https://www.loufuszford.com/inventory/new-2026-ford-explorer-st-line-4wd-4d-sport-utility-1fmuk8khxtgb04905/
"Lou Fusz Ford",1FMJU1MG2TEA16872,2026,Ford,Expedition,Platinum,"At Dealership",F26360,2026-03-30,https://www.loufuszford.com/inventory/new-2026-ford-expedition-platinum-4wd-4d-sport-utility-1fmju1mg2tea16872/
"Lou Fusz Ford",1FMUK8DH2TGB00005,2026,Ford,Explorer,Active,"At Dealership",F26369,2026-03-19,https://www.loufuszford.com/inventory/new-2026-ford-explorer-active-4wd-4d-sport-utility-1fmuk8dh2tgb00005/
"Lou Fusz Ford",3FTCW8TA7TRA62384,2026,Ford,Maverick,"Lobo Standard","At Dealership",F26370,2026-04-11,https://www.loufuszford.com/inventory/new-2026-ford-maverick-lobo-standard-awd-4d-crew-cab-3ftcw8ta7tra62384/
"Lou Fusz Ford",1FMUK8DH1TGB00562,2026,Ford,Explorer,Active,"At Dealership",F26374,2026-03-19,https://www.loufuszford.com/inventory/new-2026-ford-explorer-active-4wd-4d-sport-utility-1fmuk8dh1tgb00562/
"Lou Fusz Ford",1FMJU1MG9TEA28338,2026,Ford,Expedition,Platinum,"At Dealership",F26377,2026-03-30,https://www.loufuszford.com/inventory/new-2026-ford-expedition-platinum-4wd-4d-sport-utility-1fmju1mg9tea28338/
"Lou Fusz Ford",3FMCR9BN8TRE34831,2026,Ford,"Bronco Sport","Big Bend","At Dealership",F26385,2026-04-28,https://www.loufuszford.com/inventory/new-2026-ford-bronco-sport-big-bend-4wd-4d-sport-utility-3fmcr9bn8tre34831/
"Lou Fusz Ford",1FTFW3L8XTKD47582,2026,Ford,F-150,XLT,"At Dealership",F26397,2026-04-03,https://www.loufuszford.com/inventory/new-2026-ford-f-150-xlt-4wd-4d-supercrew-1ftfw3l8xtkd47582/
"Lou Fusz Ford",3FMCR9CN4TRE43380,2026,Ford,"Bronco Sport","Outer Banks","At Dealership",F26401,2026-04-28,https://www.loufuszford.com/inventory/new-2026-ford-bronco-sport-outer-banks-4wd-4d-sport-utility-3fmcr9cn4tre43380/
"Lou Fusz Ford",1FMEE9BP5TLA80383,2026,Ford,Bronco,Badlands,"At Dealership",F26404,2026-04-15,https://www.loufuszford.com/inventory/new-2026-ford-bronco-badlands-4wd-4d-sport-utility-1fmee9bp5tla80383/
"Lou Fusz Ford",1FTFW3LD3TFA81571,2026,Ford,F-150,XLT,"At Dealership",F26407,2026-04-20,https://www.loufuszford.com/inventory/new-2026-ford-f-150-xlt-4wd-4d-supercrew-1ftfw3ld3tfa81571/
"Lou Fusz Ford",1FMWK8GC1TGB40925,2026,Ford,Explorer,ST,"At Dealership",F26410,2026-03-23,https://www.loufuszford.com/inventory/new-2026-ford-explorer-st-4wd-4d-sport-utility-1fmwk8gc1tgb40925/
"Lou Fusz Ford",1FMUK8KHXTGB33630,2026,Ford,Explorer,ST-Line,"At Dealership",F26412,2026-04-07,https://www.loufuszford.com/inventory/new-2026-ford-explorer-st-line-4wd-4d-sport-utility-1fmuk8khxtgb33630/
"Lou Fusz Ford",3FMTK3SU1TMA03219,2026,Ford,"Mustang Mach-E",Premium,"At Dealership",F26423,2026-04-02,https://www.loufuszford.com/inventory/new-2026-ford-mustang-mach-e-premium-awd-4d-sport-utility-3fmtk3su1tma03219/
"Lou Fusz Ford",1FMDE7BH0TLA84768,2026,Ford,Bronco,"Big Bend","At Dealership",F26435,2026-05-22,https://www.loufuszford.com/inventory/new-2026-ford-bronco-big-bend-4wd-4d-sport-utility-1fmde7bh0tla84768/
"Lou Fusz Ford",3FMCR9BN1TRE51888,2026,Ford,"Bronco Sport","Big Bend","At Dealership",F26436,2026-05-12,https://www.loufuszford.com/inventory/new-2026-ford-bronco-sport-big-bend-4wd-4d-sport-utility-3fmcr9bn1tre51888/
"Lou Fusz Ford",3FMCR9BN4TRE48483,2026,Ford,"Bronco Sport","Big Bend","At Dealership",F26458,2026-05-26,https://www.loufuszford.com/inventory/new-2026-ford-bronco-sport-big-bend-4wd-4d-sport-utility-3fmcr9bn4tre48483/
"Lou Fusz Ford",1FTFW5L81TKE04036,2026,Ford,F-150,Lariat,"At Dealership",F26456,2026-07-01,https://www.loufuszford.com/inventory/new-2026-ford-f-150-lariat-4wd-4d-supercrew-1ftfw5l81tke04036/
"Lou Fusz Ford",1FM5K8AWXTGB58385,2026,Ford,"Utility Police Interceptor",Base,"At Dealership",FF26442,2026-05-05,https://www.loufuszford.com/inventory/new-2026-ford-utility-police-interceptor-base-awd-4d-sport-utility-1fm5k8awxtgb58385/
"Lou Fusz Ford",1FM5K8AW7TGB62524,2026,Ford,"Utility Police Interceptor",Base,"At Dealership",FF26445,2026-05-05,https://www.loufuszford.com/inventory/new-2026-ford-utility-police-interceptor-base-awd-4d-sport-utility-1fm5k8aw7tgb62524/
"Lou Fusz Ford",1FTFW3L55TKD44658,2026,Ford,F-150,XLT,"At Dealership",F26448,2026-04-17,https://www.loufuszford.com/inventory/new-2026-ford-f-150-xlt-4wd-4d-supercrew-1ftfw3l55tkd44658/
"Lou Fusz Ford",3FMCR9CN4TRE55061,2026,Ford,"Bronco Sport","Outer Banks","At Dealership",F26449,2026-05-12,https://www.loufuszford.com/inventory/new-2026-ford-bronco-sport-outer-banks-4wd-4d-sport-utility-3fmcr9cn4tre55061/
"Lou Fusz Ford",3FMCR9GN0TRE48831,2026,Ford,"Bronco Sport",Heritage,"At Dealership",F26450,2026-05-12,https://www.loufuszford.com/inventory/new-2026-ford-bronco-sport-heritage-4wd-4d-sport-utility-3fmcr9gn0tre48831/
"Lou Fusz Ford",3FTTW8NA8TRA77294,2026,Ford,Maverick,Tremor,"At Dealership",F26451,2026-05-12,https://www.loufuszford.com/inventory/new-2026-ford-maverick-tremor-awd-4d-crew-cab-3fttw8na8tra77294/
"Lou Fusz Ford",3FMCR9BN3TRE47986,2026,Ford,"Bronco Sport","Big Bend","At Dealership",F26463,2026-05-26,https://www.loufuszford.com/inventory/new-2026-ford-bronco-sport-big-bend-4wd-4d-sport-utility-3fmcr9bn3tre47986/
"Lou Fusz Ford",3FMCR9BN4TRE48760,2026,Ford,"Bronco Sport","Big Bend","At Dealership",F26465,2026-05-21,https://www.loufuszford.com/inventory/new-2026-ford-bronco-sport-big-bend-4wd-4d-sport-utility-3fmcr9bn4tre48760/
"Lou Fusz Ford",3FMCR9BN9TRE48737,2026,Ford,"Bronco Sport","Big Bend","At Dealership",F26464,2026-05-21,https://www.loufuszford.com/inventory/new-2026-ford-bronco-sport-big-bend-4wd-4d-sport-utility-3fmcr9bn9tre48737/
"Lou Fusz Ford",3FMCR9GN2TRE49110,2026,Ford,"Bronco Sport",Heritage,"At Dealership",F26466,2026-05-21,https://www.loufuszford.com/inventory/new-2026-ford-bronco-sport-heritage-4wd-4d-sport-utility-3fmcr9gn2tre49110/
"Lou Fusz Ford",1FMUK8DHXTGA00783,2026,Ford,Explorer,Active,"At Dealership",F26090,2025-10-11,https://www.loufuszford.com/inventory/new-2026-ford-explorer-active-4wd-4d-sport-utility-1fmuk8dhxtga00783/
"Lou Fusz Ford",1FTBW1X88TKB00333,2026,Ford,Transit-350,Base,"At Dealership",FF26472,2026-05-07,https://www.loufuszford.com/inventory/new-2026-ford-transit-350-base-rwd-3d-cargo-van-1ftbw1x88tkb00333/
"Lou Fusz Ford",1FMEE7BH3TLA98832,2026,Ford,Bronco,"Big Bend","At Dealership",F26483,2026-05-26,https://www.loufuszford.com/inventory/new-2026-ford-bronco-big-bend-4wd-4d-sport-utility-1fmee7bh3tla98832/
"Lou Fusz Ford",1FTFW3L84TFB10269,2026,Ford,F-150,XLT,"At Dealership",F26486,2026-06-01,https://www.loufuszford.com/inventory/new-2026-ford-f-150-xlt-4wd-4d-supercrew-1ftfw3l84tfb10269/
"Lou Fusz Ford",1FMWK8JC5TGB83172,2026,Ford,Explorer,Tremor,"At Dealership",F26494,2026-05-19,https://www.loufuszford.com/inventory/new-2026-ford-explorer-tremor-4wd-4d-sport-utility-1fmwk8jc5tgb83172/
"Lou Fusz Ford",1FMWK8GC7TGB81530,2026,Ford,Explorer,ST,"At Dealership",F26492,2026-05-19,https://www.loufuszford.com/inventory/new-2026-ford-explorer-st-4wd-4d-sport-utility-1fmwk8gc7tgb81530/
"Lou Fusz Ford",1FMUK8HH3TGB96902,2026,Ford,Explorer,Platinum,"At Dealership",F26505,2026-05-19,https://www.loufuszford.com/inventory/new-2026-ford-explorer-platinum-4wd-4d-sport-utility-1fmuk8hh3tgb96902/
"Lou Fusz Ford",1FT8W2BA5TEE60751,2026,Ford,F-250SD,XLT,"At Dealership",F26506,2026-05-22,https://www.loufuszford.com/inventory/new-2026-ford-f-250sd-xlt-4wd-4d-crew-cab-1ft8w2ba5tee60751/
"Lou Fusz Ford",1FMDE7BH3TLB01823,2026,Ford,Bronco,"Big Bend","At Dealership",F26512,2026-07-11,https://www.loufuszford.com/inventory/new-2026-ford-bronco-big-bend-4wd-4d-sport-utility-1fmde7bh3tlb01823/
"Lou Fusz Ford",1FMJU1RG5TEA44626,2026,Ford,Expedition,Tremor,"At Dealership",F26516,2026-06-01,https://www.loufuszford.com/inventory/new-2026-ford-expedition-tremor-4wd-4d-sport-utility-1fmju1rg5tea44626/
"Lou Fusz Ford",3FMCR9BN9TRE79325,2026,Ford,"Bronco Sport","Big Bend","At Dealership",F26522,2026-06-15,https://www.loufuszford.com/inventory/new-2026-ford-bronco-sport-big-bend-4wd-4d-sport-utility-3fmcr9bn9tre79325/
"Lou Fusz Ford",1FMDE8BH7TLB04066,2026,Ford,Bronco,"Outer Banks","At Dealership",F26539,2026-06-03,https://www.loufuszford.com/inventory/new-2026-ford-bronco-outer-banks-4wd-4d-sport-utility-1fmde8bh7tlb04066/
