"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Mazda of Evansville",JM3KKEHD7T1387496,2026,Mazda,CX-90,"Premium Plus","At Dealership",WM260262,2026-04-22,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-premium-plus-awd-suv-jm3kkehd7t1387496/
"Mazda of Evansville",JM3KMDHA2T0121965,2026,Mazda,CX-5,"2.5 S Premium","At Dealership",WM260245,2026-04-16,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-premium-awd-suv-jm3kmdha2t0121965/
"Mazda of Evansville",JM3KJAHF8T1351748,2026,Mazda,"CX-70 Plug-In Hybrid",SC,"At Dealership",WM260234,2026-04-13,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-70-plug-in-hybrid-sc-awd-suv-jm3kjahf8t1351748/
"Mazda of Evansville",JM3KJCHF1T1351909,2026,Mazda,"CX-70 Plug-In Hybrid","SC Plus","At Dealership",WM260221,2026-04-08,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-70-plug-in-hybrid-sc-plus-awd-suv-jm3kjchf1t1351909/
"Mazda of Evansville",7MMVAAEW7TN166836,2026,Mazda,"CX-50 Hybrid","Premium Plus","At Dealership",WM260201,2026-03-20,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-plus-awd-suv-7mmvaaew7tn166836/
"Mazda of Evansville",7MMVAADW0TN166999,2026,Mazda,"CX-50 Hybrid",Premium,"At Dealership",WM260183,2026-03-16,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-awd-suv-7mmvaadw0tn166999/
"Mazda of Evansville",7MMVABDL3TN486152,2026,Mazda,CX-50,"2.5 S Premium","At Dealership",WM260179,2026-03-16,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-50-2-5-s-premium-awd-suv-7mmvabdl3tn486152/
"Mazda of Evansville",JM3KMCHA1T0130635,2026,Mazda,CX-5,"2.5 S Preferred","At Dealership",WM260269,2026-04-30,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-preferred-awd-suv-jm3kmcha1t0130635/
"Mazda of Evansville",JM3KMDHA4T0131106,2026,Mazda,CX-5,"2.5 S Premium","At Dealership",WM260278L,2026-04-30,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-premium-awd-suv-jm3kmdha4t0131106/
"Mazda of Evansville",7MMVAADW8TN161663,2026,Mazda,"CX-50 Hybrid",Premium,"At Dealership",WM260155,2026-03-02,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-awd-suv-7mmvaadw8tn161663/
"Mazda of Evansville",3MVDMBDL1TM116166,2026,Mazda,CX-30,"2.5 S Premium","At Dealership",WM260158L,2026-03-02,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-30-2-5-s-premium-awd-suv-3mvdmbdl1tm116166/
"Mazda of Evansville",7MMVAADW0TN167974,2026,Mazda,"CX-50 Hybrid",Premium,"At Dealership",WM260210,2026-03-23,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-50-hybrid-premium-awd-suv-7mmvaadw0tn167974/
"Mazda of Evansville",7MMVABBL8TN488983,2026,Mazda,CX-50,"2.5 S Preferred","At Dealership",WM260232,2026-03-31,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-50-2-5-s-preferred-awd-suv-7mmvabbl8tn488983/
"Mazda of Evansville",JM3KMDHA3T0135387,2026,Mazda,CX-5,"2.5 S Premium","At Dealership",WM260302,2026-05-11,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-premium-awd-suv-jm3kmdha3t0135387/
"Mazda of Evansville",JM3KKDHC9T1387310,2026,Mazda,CX-90,"S Premium Sport","At Dealership",WM260257,2026-04-22,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-90-s-premium-sport-awd-suv-jm3kkdhc9t1387310/
"Mazda of Evansville",JM3KMEHA7T0135608,2026,Mazda,CX-5,"2.5 S Premium Plus","At Dealership",WM260306,2026-05-05,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-premium-plus-awd-suv-jm3kmeha7t0135608/
"Mazda of Evansville",JM3KMCHA4T0137207,2026,Mazda,CX-5,"2.5 S Preferred","At Dealership",WM260309,2026-05-26,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-preferred-awd-suv-jm3kmcha4t0137207/
"Mazda of Evansville",JM3KMCHA9T0136859,2026,Mazda,CX-5,"2.5 S Preferred","At Dealership",WM260307,2026-05-26,https://www.loufuszmazdaevansville.com/inventory/new-2026-mazda-cx-5-2-5-s-preferred-awd-suv-jm3kmcha9t0136859/
