"Dealership Name",VIN,Year,Make,Model,Trim,"Vehicle Status","Stock Number","Date In stock","VDP URLs"
"Lou Fusz CDJR Vincennes",2C4RC3BGXTR228219,2026,Chrysler,Pacifica,Select,"At Dealership",Y263361,2025-12-15,https://www.loufuszcjdrvincennes.com/inventory/new-2026-chrysler-pacifica-select-awd-passenger-van-2c4rc3bgxtr228219/
"Lou Fusz CDJR Vincennes",1C4PJXDG3TW225753,2026,Jeep,Wrangler,"Sport S","At Dealership",Y263368,2025-12-26,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-wrangler-sport-s-4x4-4-door-1c4pjxdg3tw225753/
"Lou Fusz CDJR Vincennes",1C4PJXEN9TW228430,2026,Jeep,Wrangler,Sahara,"At Dealership",Y263378,2025-12-31,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-wrangler-sahara-4x4-4-door-1c4pjxen9tw228430/
"Lou Fusz CDJR Vincennes",1C4PJXAN3TW166481,2026,Jeep,Wrangler,Willys,"At Dealership",Y263333,2025-10-31,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-wrangler-willys-4x4-2-door-1c4pjxan3tw166481/
"Lou Fusz CDJR Vincennes",1C6SRFLPXTN286612,2026,RAM,1500,Rebel,"At Dealership",Y263426,2026-04-07,https://www.loufuszcjdrvincennes.com/inventory/new-2026-ram-1500-rebel-4x4-crew-cab-1c6srflpxtn286612/
"Lou Fusz CDJR Vincennes",1C4PJXDNXTW225747,2026,Jeep,Wrangler,"Sport S","At Dealership",Y263394,2026-02-06,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-wrangler-sport-s-4x4-4-door-1c4pjxdnxtw225747/
"Lou Fusz CDJR Vincennes",2C4RC1BG3TR241107,2026,Chrysler,Pacifica,Select,"At Dealership",Y263396,2026-02-06,https://www.loufuszcjdrvincennes.com/inventory/new-2026-chrysler-pacifica-select-fwd-passenger-van-2c4rc1bg3tr241107/
"Lou Fusz CDJR Vincennes",2C4RC1CG6TR241102,2026,Chrysler,Voyager,LX,"At Dealership",Y263395,2026-02-06,https://www.loufuszcjdrvincennes.com/inventory/new-2026-chrysler-voyager-lx-fwd-passenger-van-2c4rc1cg6tr241102/
"Lou Fusz CDJR Vincennes",2C4RC3BG1TR241621,2026,Chrysler,Pacifica,Select,"At Dealership",Y263392,2026-02-06,https://www.loufuszcjdrvincennes.com/inventory/new-2026-chrysler-pacifica-select-awd-passenger-van-2c4rc3bg1tr241621/
"Lou Fusz CDJR Vincennes",2C4RC1CG3TR241106,2026,Chrysler,Voyager,LX,"At Dealership",Y263397,2026-02-10,https://www.loufuszcjdrvincennes.com/inventory/new-2026-chrysler-voyager-lx-fwd-passenger-van-2c4rc1cg3tr241106/
"Lou Fusz CDJR Vincennes",2C4RC1BG7TR238419,2026,Chrysler,Pacifica,Select,"At Dealership",Y263501,2026-02-12,https://www.loufuszcjdrvincennes.com/inventory/new-2026-chrysler-pacifica-select-fwd-passenger-van-2c4rc1bg7tr238419/
"Lou Fusz CDJR Vincennes",1C4SJSAP5TS161532,2026,Jeep,"Grand Wagoneer",,"At Dealership",Y263402,2026-03-13,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-grand-wagoneer-4x4-sport-utility-1c4sjsap5ts161532/
"Lou Fusz CDJR Vincennes",3C4NJDBN4TT193537,2026,Jeep,Compass,"Latitude Altitude","At Dealership",Y263505,2026-03-11,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-compass-latitude-altitude-4x4-sport-utility-3c4njdbn4tt193537/
"Lou Fusz CDJR Vincennes",1C6PJTAG1TL178048,2026,Jeep,Gladiator,Sahara,"At Dealership",Y263410,2026-03-09,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-gladiator-sahara-4x4-crew-cab-1c6pjtag1tl178048/
"Lou Fusz CDJR Vincennes",1C6PJTAGXTL178047,2026,Jeep,Gladiator,Sahara,"At Dealership",Y263409,2026-03-09,https://www.loufuszcjdrvincennes.com/inventory/new-2026-jeep-gladiator-sahara-4x4-crew-cab-1c6pjtagxtl178047/
